V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
8.841575788	16.3886093	13.67484242	13.98696848	5.323561781	6.875992996	8.000370185	10.53024512	10.70290645	12.18643322
8.908929465	16.41181091	13.67589295	13.99564282	5.353516758	6.937948974	7.958764382	10.53	10.78342171	12.17
8.976283142	16.43	13.67337169	14.00734867	5.352176088	7.00921961	7.937158579	10.5291996	10.87094547	12.16
9.031735868	16.43	13.67736368	14.02358179	5.389044522	7.089834917	7.911105553	10.52367684	10.95846923	12.13350175
9.080990495	16.44196598	13.68	14.04038019	5.4	7.155822911	7.883946973	10.51815408	11.04166083	12.08681341
9.148344172	16.45847924	13.68	14.04623312	5.423336668	7.226423212	7.862341171	10.51263132	11.1145973	12.03025013
9.211025513	16.4790095	13.68	14.05417209	5.453291646	7.303651826	7.840735368	10.51	11.20104052	11.95031016
9.266133067	16.48651326	13.69	14.06587794	5.46	7.391595798	7.819129565	10.51	11.28451726	11.86349675
9.32124062	16.49671336	13.69104052	14.0662081	5.490935468	7.472911456	7.797523762	10.51	11.36474737	11.77024012
9.375642821	16.5102001	13.7	14.06035518	5.507718859	7.549569785	7.775917959	10.51	11.44497749	11.67348674
9.424627314	16.51704352	13.7	14.081991	5.540815408	7.625427714	7.76	10.51	11.53113557	11.55673337
9.473611806	16.52777389	13.70324662	14.1	5.588444222	7.713371686	7.742706353	10.50949475	11.62510255	11.43998499
9.522596298	16.54073037	13.71	14.1	5.630695348	7.783486743	7.73110055	10.50397199	11.72309155	11.31653327
9.57158079	16.54757379	13.70528264	14.10305653	5.693611806	7.855987994	7.739494747	10.5	11.76685343	11.19309155
9.620565283	16.55883442	13.71635818	14.10890945	5.725287644	7.936603302	7.73	10.5	11.84633317	11.06957979
9.669549775	16.57252126	13.71762381	14.11	5.79865933	8.017218609	7.723716858	10.5	11.93635818	10.94269135
9.714967484	16.5862081	13.72384692	14.11	5.888524262	8.087318659	7.72	10.5	12.01658829	10.79276638
9.757828914	16.59494747	13.74531766	14.11	5.978389195	8.163621811	7.72	10.50364182	12.07586793	10.65932466
9.800690345	16.60537269	13.75	14.10767884	6.037918959	8.258894447	7.73	10.50916458	12.14704852	10.52905953
9.841615808	16.62590295	13.75912956	14.10182591	6.140825413	8.325192596	7.75014007	10.50062531	12.22413707	10.39892946
9.878354177	16.64095548	13.76986493	14.10805403	6.2681991	8.400295148	7.785237619	10.49063032	12.28977989	10.2589995
9.915092546	16.65232116	13.78	14.11975988	6.382926463	8.475207604	7.826703352	10.5071986	12.35542271	10.12555778
9.952136068	16.65916458	13.78534267	14.12	6.500285143	8.533836918	7.85	10.52	12.41416208	9.999269635
9.994997499	16.67201601	13.82	14.12158579	6.627613807	8.612141071	7.883126563	10.52	12.46447224	9.868674337
10.03275638	16.68285143	13.8228064	14.12743872	6.772406203	8.681095548	7.916338169	10.52230115	12.50823412	9.745232616
10.06337169	16.68969485	13.83354177	14.13329165	6.899744872	8.738509255	7.949549775	10.52782391	12.57332666	9.625432716
10.09398699	16.70961481	13.84	14.13914457	7.041955978	8.789809905	7.99138069	10.53334667	12.64363682	9.50867934
10.1246023	16.72338169	13.85503752	14.1350025	7.206628314	8.846983492	8.021945973	10.53886943	12.70927964	9.394907454
10.15521761	16.73022511	13.88149575	14.13170085	7.361505753	8.91841921	8.083776888	10.54878439	12.73885443	9.281465733
10.1889995	16.73706853	13.89648324	14.1434067	7.533536768	9.002121061	8.138594297	10.55982991	12.77253627	9.16841921
10.22573787	16.75173587	13.91443722	14.15255628	7.69845923	9.031435718	8.211215608	10.56543772	12.8108054	9.068749375
10.25165083	16.77075538	13.92795398	14.1584092	7.865607804	9.097063532	8.278229115	10.57288144	12.85456728	8.954912456
10.27614307	16.7775988	13.93	14.15573787	8.005857929	9.162581291	8.355077539	10.58944972	12.89832916	8.86815908
10.30063532	16.78888444	13.93942471	14.15011506	8.15038019	9.199224612	8.440485243	10.602006	12.9384092	8.781405703
10.32890945	16.80257129	13.97016008	14.15596798	8.307498749	9.336298149	8.536908454	10.60752876	12.97292646	8.726163082
10.35952476	16.81625813	13.98	14.16364182	8.445272636	9.417013507	8.619164582	10.61915458	12.9948074	8.7
10.38411206	16.82994497	13.98163082	14.17534767	8.655527764	9.466478239	8.719754877	10.63572286	13.0611906	8.724427214
10.4086043	16.84181591	13.99236618	14.17647324	8.836778389	9.532436218	8.834267134	10.65229115	13.11856928	8.791705853
10.43309655	16.84865933	14.00310155	14.17062031	8.981970985	9.598394197	8.943251626	10.66885943	13.14030015	8.922361181
10.45758879	16.85550275	14.01383692	14.17523262	9.136298149	9.664352176	9.055792896	10.68542771	13.15488744	9.056393197
10.48156078	16.86	14.02457229	14.18	9.267043522	9.731455728	9.177033517	10.701996	13.17421211	9.213801901
10.49992996	16.86	14.03	14.18	9.423056528	9.804742371	9.301870935	10.71856428	13.19203102	9.374587294
