Date	Time	CongHt
1/22/20	6:30	10.8
1/22/20	6:45	10.79
1/22/20	7:00	10.75
1/22/20	7:15	10.72
1/22/20	7:30	10.7
1/22/20	7:45	10.68
1/22/20	8:00	10.67
1/22/20	8:15	10.64
1/22/20	8:30	10.63
1/22/20	8:45	10.62
1/22/20	9:00	10.62
1/22/20	9:15	10.61
1/22/20	9:30	10.61
1/22/20	9:45	10.62
1/22/20	10:00	10.62
1/22/20	10:15	10.62
1/22/20	10:30	10.64
1/22/20	10:45	10.65
1/22/20	11:00	10.67
1/22/20	11:15	10.68
1/22/20	11:30	10.72
1/22/20	11:45	10.73
1/22/20	12:00	10.74
1/22/20	12:15	10.77
1/22/20	12:30	10.8
1/22/20	12:45	10.82
1/22/20	13:00	10.87
1/22/20	13:15	10.88
1/22/20	13:30	10.91
1/22/20	13:45	10.93
1/22/20	14:00	10.96
1/22/20	14:15	10.99
1/22/20	14:30	11.02
1/22/20	14:45	11.07
1/22/20	15:00	11.08
1/22/20	15:15	11.11
1/22/20	15:30	11.15
1/22/20	15:45	11.19
1/22/20	16:00	11.22
1/22/20	16:15	11.24
1/22/20	16:30	11.28
1/22/20	16:45	11.32
1/22/20	17:00	11.35
1/22/20	17:15	11.41
1/22/20	17:30	11.43
1/22/20	17:45	11.46
1/22/20	18:00	11.51
1/22/20	18:15	11.53
1/22/20	18:30	11.57
1/22/20	18:45	11.61
1/22/20	19:00	11.64
1/22/20	19:15	11.68
1/22/20	19:30	11.69
1/22/20	19:45	11.71
1/22/20	20:00	11.73
1/22/20	20:15	11.74
1/22/20	20:30	11.75
1/22/20	20:45	11.75
1/22/20	21:00	11.76
1/22/20	21:15	11.74
1/22/20	21:30	11.78
1/22/20	21:45	11.76
1/22/20	22:00	11.73
1/22/20	22:15	11.72
1/22/20	22:30	11.71
1/22/20	22:45	11.69
1/22/20	23:00	11.67
1/22/20	23:15	11.65
1/22/20	23:30	11.62
1/22/20	23:45	11.59
1/23/20	0:00	11.56
1/23/20	0:15	11.53
1/23/20	0:30	11.5
1/23/20	0:45	11.47
1/23/20	1:00	11.45
1/23/20	1:15	11.4
1/23/20	1:30	11.35
1/23/20	1:45	11.31
1/23/20	2:00	11.27
1/23/20	2:15	11.22
1/23/20	2:30	11.18
1/23/20	2:45	11.14
1/23/20	3:00	11.08
1/23/20	3:15	11.03
1/23/20	3:30	10.98
1/23/20	3:45	10.92
1/23/20	4:00	10.87
1/23/20	4:15	10.81
1/23/20	4:30	10.76
1/23/20	4:45	10.69
1/23/20	5:00	10.65
1/23/20	5:15	10.59
1/23/20	5:30	10.54
1/23/20	5:45	10.47
1/23/20	6:00	10.41
1/23/20	6:15	10.35
1/23/20	6:30	10.29
1/23/20	6:45	10.22
1/23/20	7:00	10.16
1/23/20	7:15	10.1
1/23/20	7:30	10.03
1/23/20	7:45	9.98
1/23/20	8:00	9.91
1/23/20	8:15	9.86
1/23/20	8:30	9.8
1/23/20	8:45	9.74
1/23/20	9:00	9.67
1/23/20	9:15	9.61
1/23/20	9:30	9.56
1/23/20	9:45	9.5
1/23/20	10:00	9.44
1/23/20	10:15	9.39
1/23/20	10:30	9.35
1/23/20	10:45	9.28
1/23/20	11:00	9.23
1/23/20	11:15	9.19
1/23/20	11:30	9.14
1/23/20	11:45	9.08
1/23/20	12:00	9.02
1/23/20	12:15	8.98
1/23/20	12:30	8.94
1/23/20	12:45	8.89
1/23/20	13:00	8.85
1/23/20	13:15	8.8
1/23/20	13:30	8.77
1/23/20	13:45	8.72
1/23/20	14:00	8.69
1/23/20	14:15	8.65
1/23/20	14:30	8.62
1/23/20	14:45	8.58
1/23/20	15:00	8.56
1/23/20	15:15	8.51
1/23/20	15:30	8.49
1/23/20	15:45	8.47
1/23/20	16:00	8.43
1/23/20	16:15	8.41
1/23/20	16:30	8.38
1/23/20	16:45	8.35
1/23/20	17:00	8.33
1/23/20	17:15	8.31
1/23/20	17:30	8.29
1/23/20	17:45	8.28
1/23/20	18:00	8.26
1/23/20	18:15	8.25
1/23/20	18:30	8.26
1/23/20	18:45	8.24
1/23/20	19:00	8.27
1/23/20	19:15	8.27
1/23/20	19:30	8.28
1/23/20	19:45	8.3
1/23/20	20:00	8.34
1/23/20	20:15	8.35
1/23/20	20:30	8.39
1/23/20	20:45	8.43
1/23/20	21:00	8.48
1/23/20	21:15	8.53
1/23/20	21:30	8.58
1/23/20	21:45	8.63
1/23/20	22:00	8.69
1/23/20	22:15	8.75
1/23/20	22:30	8.81
1/23/20	22:45	8.88
1/23/20	23:00	8.95
1/23/20	23:15	9.01
1/23/20	23:30	9.08
1/23/20	23:45	9.15
1/24/20	0:00	9.24
1/24/20	0:15	9.26
1/24/20	0:30	9.33
1/24/20	0:45	9.39
1/24/20	1:00	9.45
1/24/20	1:15	9.48
1/24/20	1:30	9.53
1/24/20	1:45	9.59
1/24/20	2:00	9.63
1/24/20	2:15	9.68
1/24/20	2:30	9.71
1/24/20	2:45	9.75
1/24/20	3:00	9.79
1/24/20	3:15	9.82
1/24/20	3:30	9.84
1/24/20	3:45	9.89
1/24/20	4:00	9.91
1/24/20	4:15	9.93
1/24/20	4:30	9.98
1/24/20	4:45	9.99
1/24/20	5:00	10.02
1/24/20	5:15	10.05
1/24/20	5:30	10.06
1/24/20	5:45	10.1
1/24/20	6:00	10.12
1/24/20	6:15	10.16
1/24/20	6:30	10.18
1/24/20	6:45	10.2
1/24/20	7:00	10.22
1/24/20	7:15	10.25
1/24/20	7:30	10.28
1/24/20	7:45	10.29
1/24/20	8:00	10.32
1/24/20	8:15	10.34
1/24/20	8:30	10.37
1/24/20	8:45	10.39
1/24/20	9:00	10.43
1/24/20	9:15	10.46
1/24/20	9:30	10.47
1/24/20	9:45	10.5
1/24/20	10:00	10.51
1/24/20	10:15	10.54
1/24/20	10:30	10.56
1/24/20	10:45	10.58
1/24/20	11:00	10.58
1/24/20	11:15	10.62
1/24/20	11:30	10.59
1/24/20	11:45	10.63
1/24/20	12:00	10.62
1/24/20	12:15	10.62
1/24/20	12:30	10.62
1/24/20	12:45	10.62
1/24/20	13:00	10.63
1/24/20	13:15	10.61
1/24/20	13:30	10.61
1/24/20	13:45	10.59
1/24/20	14:00	10.59
1/24/20	14:15	10.59
1/24/20	14:30	10.57
1/24/20	14:45	10.57
1/24/20	15:00	10.54
1/24/20	15:15	10.53
1/24/20	15:30	10.52
1/24/20	15:45	10.49
1/24/20	16:00	10.45
1/24/20	16:15	10.44
1/24/20	16:30	10.41
1/24/20	16:45	10.37
1/24/20	17:00	10.35
1/24/20	17:15	10.34
1/24/20	17:30	10.3
1/24/20	17:45	10.27
1/24/20	18:00	10.24
1/24/20	18:15	10.22
1/24/20	18:30	10.19
1/24/20	18:45	10.18
1/24/20	19:00	10.14
1/24/20	19:15	10.1
1/24/20	19:30	10.06
1/24/20	19:45	10.04
1/24/20	20:00	10
1/24/20	20:15	9.96
1/24/20	20:30	9.94
1/24/20	20:45	9.9
1/24/20	21:00	9.87
1/24/20	21:15	9.84
1/24/20	21:30	9.81
1/24/20	21:45	9.77
1/24/20	22:00	9.75
1/24/20	22:15	9.69
1/24/20	22:30	9.67
1/24/20	22:45	9.62
1/24/20	23:00	9.59
1/24/20	23:15	9.56
1/24/20	23:30	9.52
1/24/20	23:45	9.49
1/25/20	0:00	9.44
1/25/20	0:15	9.42
1/25/20	0:30	9.38
1/25/20	0:45	9.33
1/25/20	1:00	9.31
1/25/20	1:15	9.27
1/25/20	1:30	9.24
1/25/20	1:45	9.21
1/25/20	2:00	9.15
1/25/20	2:15	9.13
1/25/20	2:30	9.08
1/25/20	2:45	9.05
1/25/20	3:00	9.01
1/25/20	3:15	8.99
1/25/20	3:30	8.96
1/25/20	3:45	8.94
1/25/20	4:00	8.89
1/25/20	4:15	8.87
1/25/20	4:30	8.86
1/25/20	4:45	8.83
1/25/20	5:00	8.81
1/25/20	5:15	8.8
1/25/20	5:30	8.77
1/25/20	5:45	8.76
1/25/20	6:00	8.74
1/25/20	6:15	8.74
1/25/20	6:30	8.73
1/25/20	6:45	8.72
1/25/20	7:00	8.73
1/25/20	7:15	8.76
1/25/20	7:30	8.74
1/25/20	7:45	8.75
1/25/20	8:00	8.77
1/25/20	8:15	8.79
1/25/20	8:30	8.82
1/25/20	8:45	8.82
1/25/20	9:00	8.87
